player_id,player_name,item_id,item_name,category,rating,play_style
1,Player_1,2,Sniper AWM,Weapon,3,aggressive
1,Player_1,48,Land at Hot Zone,Mission,2,aggressive
1,Player_1,18,SMG Tommy Gun,Weapon,3,aggressive
1,Player_1,16,Grenade Launcher,Weapon,5,aggressive
1,Player_1,15,Sniper Mini-14,Weapon,2,aggressive
2,Player_2,6,LMG M249,Weapon,2,explorer
2,Player_2,14,LMG DP-28,Weapon,3,explorer
2,Player_2,15,Sniper Mini-14,Weapon,5,explorer
2,Player_2,33,Victory Dance Emote,Skin,3,explorer
2,Player_2,39,Vehicle Lava Buggy,Skin,5,explorer
3,Player_3,18,SMG Tommy Gun,Weapon,4,support
3,Player_3,52,Kill with Shotgun,Mission,4,support
3,Player_3,56,Destroy 2 Vehicles,Mission,3,support
3,Player_3,1,Assault Rifle M4,Weapon,3,support
3,Player_3,49,Revive 3 Teammates,Mission,5,support
3,Player_3,59,Win Solo Match,Mission,2,support
3,Player_3,11,Sniper Kar98k,Weapon,2,support
3,Player_3,45,Loot 5 Crates,Mission,5,support
3,Player_3,28,Fire Dancer,Skin,2,support
4,Player_4,55,Kill 3 in One Match,Mission,5,support
4,Player_4,23,Desert Camo,Skin,2,support
4,Player_4,39,Vehicle Lava Buggy,Skin,5,support
4,Player_4,17,Rifle QBZ,Weapon,2,support
4,Player_4,52,Kill with Shotgun,Mission,4,support
4,Player_4,3,Shotgun S12K,Weapon,4,support
4,Player_4,47,Squad Wipe,Mission,3,support
5,Player_5,3,Shotgun S12K,Weapon,3,aggressive
5,Player_5,43,Survive 10 Minutes,Mission,3,aggressive
5,Player_5,15,Sniper Mini-14,Weapon,2,aggressive
5,Player_5,50,Drive 1km in Vehicle,Mission,5,aggressive
5,Player_5,19,Shotgun S1897,Weapon,5,aggressive
6,Player_6,41,First Blood,Mission,4,support
6,Player_6,54,Parachute 500m,Mission,2,support
6,Player_6,24,Shadow Ninja,Skin,3,support
6,Player_6,11,Sniper Kar98k,Weapon,3,support
6,Player_6,58,Kill with Flare Gun,Mission,3,support
6,Player_6,23,Desert Camo,Skin,5,support
6,Player_6,14,LMG DP-28,Weapon,5,support
6,Player_6,43,Survive 10 Minutes,Mission,4,support
7,Player_7,15,Sniper Mini-14,Weapon,4,support
7,Player_7,44,Chicken Dinner,Mission,5,support
7,Player_7,21,Neon Striker,Skin,4,support
7,Player_7,54,Parachute 500m,Mission,2,support
7,Player_7,50,Drive 1km in Vehicle,Mission,3,support
7,Player_7,56,Destroy 2 Vehicles,Mission,4,support
7,Player_7,4,SMG Vector,Weapon,3,support
7,Player_7,60,Explore All Map Zones,Mission,5,support
7,Player_7,3,Shotgun S12K,Weapon,5,support
8,Player_8,10,SMG UMP45,Weapon,5,aggressive
8,Player_8,17,Rifle QBZ,Weapon,5,aggressive
8,Player_8,9,Rifle SCAR-L,Weapon,5,aggressive
8,Player_8,16,Grenade Launcher,Weapon,3,aggressive
8,Player_8,48,Land at Hot Zone,Mission,3,aggressive
8,Player_8,36,Parachute Galaxy,Skin,5,aggressive
8,Player_8,35,Parachute Flames,Skin,2,aggressive
8,Player_8,59,Win Solo Match,Mission,2,aggressive
9,Player_9,10,SMG UMP45,Weapon,5,support
9,Player_9,41,First Blood,Mission,2,support
9,Player_9,11,Sniper Kar98k,Weapon,5,support
9,Player_9,51,Use 5 Medkits,Mission,5,support
9,Player_9,44,Chicken Dinner,Mission,5,support
10,Player_10,17,Rifle QBZ,Weapon,4,collector
10,Player_10,36,Parachute Galaxy,Skin,5,collector
10,Player_10,56,Destroy 2 Vehicles,Mission,2,collector
10,Player_10,1,Assault Rifle M4,Weapon,4,collector
10,Player_10,44,Chicken Dinner,Mission,5,collector
10,Player_10,47,Squad Wipe,Mission,3,collector
10,Player_10,8,Shotgun DBS,Weapon,5,collector
10,Player_10,58,Kill with Flare Gun,Mission,2,collector
10,Player_10,35,Parachute Flames,Skin,5,collector
11,Player_11,49,Revive 3 Teammates,Mission,3,sniper
11,Player_11,12,Pistol P18C,Weapon,3,sniper
11,Player_11,33,Victory Dance Emote,Skin,4,sniper
11,Player_11,7,Crossbow,Weapon,3,sniper
11,Player_11,56,Destroy 2 Vehicles,Mission,2,sniper
11,Player_11,41,First Blood,Mission,4,sniper
11,Player_11,20,Pistol Flare Gun,Weapon,5,sniper
11,Player_11,55,Kill 3 in One Match,Mission,2,sniper
11,Player_11,58,Kill with Flare Gun,Mission,2,sniper
12,Player_12,57,Collect All Ammo Types,Mission,2,sniper
12,Player_12,54,Parachute 500m,Mission,2,sniper
12,Player_12,52,Kill with Shotgun,Mission,5,sniper
12,Player_12,20,Pistol Flare Gun,Weapon,2,sniper
12,Player_12,16,Grenade Launcher,Weapon,3,sniper
12,Player_12,4,SMG Vector,Weapon,3,sniper
12,Player_12,56,Destroy 2 Vehicles,Mission,5,sniper
13,Player_13,11,Sniper Kar98k,Weapon,3,aggressive
13,Player_13,17,Rifle QBZ,Weapon,5,aggressive
13,Player_13,34,Robot Dance Emote,Skin,5,aggressive
13,Player_13,56,Destroy 2 Vehicles,Mission,4,aggressive
13,Player_13,39,Vehicle Lava Buggy,Skin,5,aggressive
13,Player_13,28,Fire Dancer,Skin,5,aggressive
13,Player_13,14,LMG DP-28,Weapon,2,aggressive
13,Player_13,35,Parachute Flames,Skin,3,aggressive
13,Player_13,49,Revive 3 Teammates,Mission,3,aggressive
14,Player_14,22,Arctic Ghost,Skin,3,explorer
14,Player_14,2,Sniper AWM,Weapon,2,explorer
14,Player_14,38,Helmet Skull,Skin,2,explorer
14,Player_14,36,Parachute Galaxy,Skin,2,explorer
14,Player_14,15,Sniper Mini-14,Weapon,3,explorer
15,Player_15,58,Kill with Flare Gun,Mission,3,aggressive
15,Player_15,3,Shotgun S12K,Weapon,5,aggressive
15,Player_15,56,Destroy 2 Vehicles,Mission,5,aggressive
15,Player_15,22,Arctic Ghost,Skin,3,aggressive
15,Player_15,5,Pistol Desert Eagle,Weapon,3,aggressive
16,Player_16,37,Helmet Crown,Skin,2,explorer
16,Player_16,31,Zombie Survivor,Skin,5,explorer
16,Player_16,16,Grenade Launcher,Weapon,4,explorer
16,Player_16,51,Use 5 Medkits,Mission,5,explorer
16,Player_16,59,Win Solo Match,Mission,5,explorer
16,Player_16,52,Kill with Shotgun,Mission,5,explorer
16,Player_16,27,Classic Soldier,Skin,2,explorer
16,Player_16,13,Rifle AKM,Weapon,2,explorer
16,Player_16,7,Crossbow,Weapon,2,explorer
17,Player_17,47,Squad Wipe,Mission,5,sniper
17,Player_17,22,Arctic Ghost,Skin,3,sniper
17,Player_17,52,Kill with Shotgun,Mission,5,sniper
17,Player_17,56,Destroy 2 Vehicles,Mission,3,sniper
17,Player_17,7,Crossbow,Weapon,4,sniper
17,Player_17,16,Grenade Launcher,Weapon,5,sniper
17,Player_17,13,Rifle AKM,Weapon,3,sniper
17,Player_17,54,Parachute 500m,Mission,2,sniper
18,Player_18,52,Kill with Shotgun,Mission,2,aggressive
18,Player_18,56,Destroy 2 Vehicles,Mission,2,aggressive
18,Player_18,55,Kill 3 in One Match,Mission,3,aggressive
18,Player_18,36,Parachute Galaxy,Skin,3,aggressive
18,Player_18,7,Crossbow,Weapon,5,aggressive
18,Player_18,4,SMG Vector,Weapon,5,aggressive
18,Player_18,42,Sniper Elite,Mission,5,aggressive
18,Player_18,35,Parachute Flames,Skin,3,aggressive
19,Player_19,58,Kill with Flare Gun,Mission,5,collector
19,Player_19,4,SMG Vector,Weapon,4,collector
19,Player_19,11,Sniper Kar98k,Weapon,5,collector
19,Player_19,25,Golden Warrior,Skin,5,collector
19,Player_19,1,Assault Rifle M4,Weapon,3,collector
19,Player_19,57,Collect All Ammo Types,Mission,3,collector
19,Player_19,17,Rifle QBZ,Weapon,4,collector
19,Player_19,51,Use 5 Medkits,Mission,3,collector
20,Player_20,38,Helmet Skull,Skin,2,support
20,Player_20,48,Land at Hot Zone,Mission,2,support
20,Player_20,35,Parachute Flames,Skin,5,support
20,Player_20,4,SMG Vector,Weapon,3,support
20,Player_20,21,Neon Striker,Skin,2,support
21,Player_21,6,LMG M249,Weapon,2,explorer
21,Player_21,55,Kill 3 in One Match,Mission,3,explorer
21,Player_21,12,Pistol P18C,Weapon,2,explorer
21,Player_21,5,Pistol Desert Eagle,Weapon,2,explorer
21,Player_21,39,Vehicle Lava Buggy,Skin,5,explorer
21,Player_21,57,Collect All Ammo Types,Mission,4,explorer
21,Player_21,44,Chicken Dinner,Mission,4,explorer
21,Player_21,16,Grenade Launcher,Weapon,3,explorer
21,Player_21,26,Cyber Punk,Skin,4,explorer
22,Player_22,17,Rifle QBZ,Weapon,5,support
22,Player_22,26,Cyber Punk,Skin,4,support
22,Player_22,9,Rifle SCAR-L,Weapon,2,support
22,Player_22,43,Survive 10 Minutes,Mission,2,support
22,Player_22,42,Sniper Elite,Mission,5,support
22,Player_22,20,Pistol Flare Gun,Weapon,2,support
23,Player_23,35,Parachute Flames,Skin,4,support
23,Player_23,14,LMG DP-28,Weapon,2,support
23,Player_23,33,Victory Dance Emote,Skin,3,support
23,Player_23,17,Rifle QBZ,Weapon,4,support
23,Player_23,9,Rifle SCAR-L,Weapon,4,support
24,Player_24,29,Ocean Pirate,Skin,2,aggressive
24,Player_24,54,Parachute 500m,Mission,4,aggressive
24,Player_24,35,Parachute Flames,Skin,2,aggressive
24,Player_24,46,Headshot Master,Mission,3,aggressive
24,Player_24,20,Pistol Flare Gun,Weapon,4,aggressive
24,Player_24,40,Vehicle Ice Bike,Skin,2,aggressive
25,Player_25,48,Land at Hot Zone,Mission,3,support
25,Player_25,36,Parachute Galaxy,Skin,4,support
25,Player_25,10,SMG UMP45,Weapon,3,support
25,Player_25,18,SMG Tommy Gun,Weapon,4,support
25,Player_25,19,Shotgun S1897,Weapon,5,support
26,Player_26,58,Kill with Flare Gun,Mission,4,collector
26,Player_26,59,Win Solo Match,Mission,3,collector
26,Player_26,55,Kill 3 in One Match,Mission,2,collector
26,Player_26,4,SMG Vector,Weapon,4,collector
26,Player_26,6,LMG M249,Weapon,3,collector
26,Player_26,41,First Blood,Mission,4,collector
26,Player_26,28,Fire Dancer,Skin,5,collector
27,Player_27,36,Parachute Galaxy,Skin,3,support
27,Player_27,46,Headshot Master,Mission,2,support
27,Player_27,28,Fire Dancer,Skin,4,support
27,Player_27,60,Explore All Map Zones,Mission,3,support
27,Player_27,1,Assault Rifle M4,Weapon,5,support
27,Player_27,8,Shotgun DBS,Weapon,3,support
27,Player_27,5,Pistol Desert Eagle,Weapon,2,support
27,Player_27,45,Loot 5 Crates,Mission,4,support
28,Player_28,58,Kill with Flare Gun,Mission,3,aggressive
28,Player_28,51,Use 5 Medkits,Mission,2,aggressive
28,Player_28,56,Destroy 2 Vehicles,Mission,4,aggressive
28,Player_28,3,Shotgun S12K,Weapon,5,aggressive
28,Player_28,23,Desert Camo,Skin,3,aggressive
28,Player_28,14,LMG DP-28,Weapon,3,aggressive
28,Player_28,44,Chicken Dinner,Mission,3,aggressive
29,Player_29,57,Collect All Ammo Types,Mission,5,collector
29,Player_29,27,Classic Soldier,Skin,5,collector
29,Player_29,2,Sniper AWM,Weapon,5,collector
29,Player_29,12,Pistol P18C,Weapon,3,collector
29,Player_29,48,Land at Hot Zone,Mission,2,collector
29,Player_29,22,Arctic Ghost,Skin,5,collector
30,Player_30,55,Kill 3 in One Match,Mission,5,sniper
30,Player_30,31,Zombie Survivor,Skin,4,sniper
30,Player_30,15,Sniper Mini-14,Weapon,5,sniper
30,Player_30,13,Rifle AKM,Weapon,3,sniper
30,Player_30,53,Top 10 Finish,Mission,3,sniper
31,Player_31,43,Survive 10 Minutes,Mission,2,support
31,Player_31,13,Rifle AKM,Weapon,4,support
31,Player_31,26,Cyber Punk,Skin,4,support
31,Player_31,22,Arctic Ghost,Skin,5,support
31,Player_31,18,SMG Tommy Gun,Weapon,4,support
32,Player_32,8,Shotgun DBS,Weapon,5,aggressive
32,Player_32,57,Collect All Ammo Types,Mission,2,aggressive
32,Player_32,17,Rifle QBZ,Weapon,3,aggressive
32,Player_32,12,Pistol P18C,Weapon,5,aggressive
32,Player_32,38,Helmet Skull,Skin,4,aggressive
33,Player_33,28,Fire Dancer,Skin,4,sniper
33,Player_33,39,Vehicle Lava Buggy,Skin,2,sniper
33,Player_33,33,Victory Dance Emote,Skin,5,sniper
33,Player_33,8,Shotgun DBS,Weapon,2,sniper
33,Player_33,25,Golden Warrior,Skin,3,sniper
33,Player_33,37,Helmet Crown,Skin,4,sniper
33,Player_33,13,Rifle AKM,Weapon,5,sniper
34,Player_34,43,Survive 10 Minutes,Mission,2,sniper
34,Player_34,59,Win Solo Match,Mission,4,sniper
34,Player_34,22,Arctic Ghost,Skin,4,sniper
34,Player_34,40,Vehicle Ice Bike,Skin,5,sniper
34,Player_34,21,Neon Striker,Skin,4,sniper
