player_id,player_name,level,play_style,matches_played
1,Player_1,39,aggressive,233
2,Player_2,29,explorer,234
3,Player_3,15,support,394
4,Player_4,43,support,412
5,Player_5,8,aggressive,135
6,Player_6,21,support,139
7,Player_7,39,support,62
8,Player_8,19,aggressive,181
9,Player_9,23,support,227
10,Player_10,11,collector,169
11,Player_11,11,sniper,207
12,Player_12,24,sniper,425
13,Player_13,36,aggressive,256
14,Player_14,40,explorer,333
15,Player_15,24,aggressive,448
16,Player_16,3,explorer,212
17,Player_17,22,sniper,193
18,Player_18,2,aggressive,132
19,Player_19,24,collector,410
20,Player_20,44,support,264
21,Player_21,30,explorer,303
22,Player_22,38,support,289
23,Player_23,2,support,334
24,Player_24,21,aggressive,381
25,Player_25,33,support,107
26,Player_26,12,collector,207
27,Player_27,22,support,479
28,Player_28,44,aggressive,404
29,Player_29,25,collector,249
30,Player_30,49,sniper,153
31,Player_31,27,support,106
32,Player_32,42,aggressive,210
33,Player_33,28,sniper,133
34,Player_34,16,sniper,196
35,Player_35,15,explorer,335
36,Player_36,47,collector,473
37,Player_37,44,support,358
38,Player_38,3,aggressive,268
39,Player_39,37,explorer,157
40,Player_40,7,collector,261
41,Player_41,21,explorer,452
42,Player_42,9,collector,429
43,Player_43,39,collector,412
44,Player_44,18,support,355
45,Player_45,4,collector,460
46,Player_46,25,explorer,156
47,Player_47,14,collector,157
48,Player_48,9,support,361
49,Player_49,26,support,208
50,Player_50,2,explorer,317
51,Player_51,20,sniper,498
52,Player_52,28,sniper,426
53,Player_53,47,collector,433
54,Player_54,7,aggressive,137
55,Player_55,44,collector,48
56,Player_56,8,explorer,347
57,Player_57,47,explorer,369
58,Player_58,35,explorer,138
59,Player_59,14,explorer,276
60,Player_60,17,explorer,485
61,Player_61,36,support,450
62,Player_62,40,sniper,482
63,Player_63,4,explorer,443
64,Player_64,2,aggressive,160
65,Player_65,6,aggressive,424
66,Player_66,42,aggressive,487
67,Player_67,4,aggressive,307
68,Player_68,29,support,108
69,Player_69,18,aggressive,272
70,Player_70,26,explorer,261
71,Player_71,44,collector,153
72,Player_72,34,aggressive,355
73,Player_73,10,support,121
74,Player_74,36,support,69
75,Player_75,14,aggressive,378
76,Player_76,31,collector,11
77,Player_77,48,aggressive,394
78,Player_78,15,support,313
79,Player_79,8,sniper,263
80,Player_80,14,explorer,149
81,Player_81,23,support,462
82,Player_82,40,aggressive,46
83,Player_83,21,explorer,169
84,Player_84,16,aggressive,18
85,Player_85,45,aggressive,242
86,Player_86,18,sniper,108
87,Player_87,47,explorer,156
88,Player_88,24,explorer,313
89,Player_89,26,sniper,217
90,Player_90,25,support,140
91,Player_91,45,aggressive,413
92,Player_92,41,collector,161
93,Player_93,29,aggressive,63
94,Player_94,15,aggressive,129
95,Player_95,45,support,170
96,Player_96,1,aggressive,417
97,Player_97,25,sniper,125
98,Player_98,7,sniper,84
99,Player_99,9,explorer,122
100,Player_100,24,collector,465
